"storm_id","date","tclat","tclon","vmax"
"BOLAVEN_2005",2005-11-16 07:00:00,13.2729773191324,129.873319304016,18.1235275657081
"BOLAVEN_2005",2005-11-16 08:00:00,13.2668996845065,129.809336756437,18.6681336048506
"BOLAVEN_2005",2005-11-16 09:00:00,13.2608171056251,129.745767493771,19.2099697039945
"BOLAVEN_2005",2005-11-16 10:00:00,13.2547271103606,129.682818158474,19.7476508931405
"BOLAVEN_2005",2005-11-16 11:00:00,13.2486272265851,129.620695393001,20.2797922022893
"BOLAVEN_2005",2005-11-16 12:00:00,13.242514982171,129.55960583981,20.8050086614416
"BOLAVEN_2005",2005-11-16 13:00:00,13.2363879049905,129.499756141355,21.321915300598
"BOLAVEN_2005",2005-11-16 14:00:00,13.230243522916,129.441352940095,21.8291271497593
"BOLAVEN_2005",2005-11-16 15:00:00,13.2240793638195,129.384602878484,22.3252592389261
"BOLAVEN_2005",2005-11-16 16:00:00,13.2178929555735,129.329712598979,22.8089265980992
"BOLAVEN_2005",2005-11-16 17:00:00,13.2116818260503,129.276888744036,23.2787442572793
"BOLAVEN_2005",2005-11-16 18:00:00,13.205443503122,129.226337956111,23.733327246467
"BOLAVEN_2005",2005-11-16 19:00:00,13.1991755146609,129.178266877662,24.1712905956631
"BOLAVEN_2005",2005-11-16 20:00:00,13.1928753885394,129.132882151142,24.5912493348681
"BOLAVEN_2005",2005-11-16 21:00:00,13.1865406526296,129.09039041901,24.9918184940829
"BOLAVEN_2005",2005-11-16 22:00:00,13.1801688348039,129.050998323722,25.3716131033082
"BOLAVEN_2005",2005-11-16 23:00:00,13.1737574629346,129.014912507732,25.7292481925445
"BOLAVEN_2005",2005-11-17 00:00:00,13.1673040648938,128.982339613499,26.0633387917927
"BOLAVEN_2005",2005-11-17 01:00:00,13.1608061685539,128.953486283477,26.3724999310534
"BOLAVEN_2005",2005-11-17 02:00:00,13.1542613017872,128.928559160124,26.6553466403273
"BOLAVEN_2005",2005-11-17 03:00:00,13.1476669924658,128.907764885894,26.9104939496151
"BOLAVEN_2005",2005-11-17 04:00:00,13.1410589089463,128.891168364316,27.1370877637457
"BOLAVEN_2005",2005-11-17 05:00:00,13.1346252815217,128.878267543196,27.3363974868612
"BOLAVEN_2005",2005-11-17 06:00:00,13.128592480969,128.868418631414,27.5102233979316
"BOLAVEN_2005",2005-11-17 07:00:00,13.1231868780655,128.860977837846,27.6603657759272
"BOLAVEN_2005",2005-11-17 08:00:00,13.1186348435884,128.855301371372,27.7886248998181
"BOLAVEN_2005",2005-11-17 09:00:00,13.1151627483147,128.85074544087,27.8968010485746
"BOLAVEN_2005",2005-11-17 10:00:00,13.1129969630217,128.846666255217,27.9866945011669
"BOLAVEN_2005",2005-11-17 11:00:00,13.1123638584865,128.842420023293,28.0601055365651
"BOLAVEN_2005",2005-11-17 12:00:00,13.1134898054862,128.837362953975,28.1188344337394
"BOLAVEN_2005",2005-11-17 13:00:00,13.1166011747981,128.830851256141,28.1646814716601
"BOLAVEN_2005",2005-11-17 14:00:00,13.1219243371993,128.82224113867,28.1994469292973
"BOLAVEN_2005",2005-11-17 15:00:00,13.129685663467,128.81088881044,28.2249310856212
"BOLAVEN_2005",2005-11-17 16:00:00,13.1401115243783,128.796150480329,28.242934219602
